D1,D2,MW,ZN
223.4136689,24.4814181,786.3822,0
259.3655702,49.57034794,775.6852222,0
275.2842564,31.74388055,768.652,0
275.2040058,48.44577965,763.7699,0
321.6109635,26.58085475,757.2602,0
247.3604382,40.2562798,776.4466,0
139.2835378,36.04853818,794.6051,0
120.4324307,15.75848812,801.2003,0
212.9324552,7.922981179,780.044,0
293.2917584,14.88163551,758.5452,0
234.9382797,-26.22715786,750.2366,0
219.3455328,-51.04635598,772.8491,0
150.4554813,28.87349759,791.0933,0
15.17152059,16.99652026,812.5066,0
-49.23459602,10.87370634,828.1812,0
-100.0136876,-2.80303182,843.9413,0
-83.90412692,-39.28008748,850.7078,0
-100.7378725,5.474793178,843.1706,0
-117.4680415,-5.829271483,846.1683,0
-82.81950091,4.244734671,844.0269,0
-124.663659,10.45983391,849.7658,0
-115.4700264,30.4812405,855.0761,0
-120.8049887,39.36692331,856.3609,0
-57.83916782,6.586188276,836.9178,0
302.305734,21.46216201,766.7676,0
300.5899054,-28.10851264,736.9604,0
306.6798805,-44.14121468,741.4145,0
208.0702396,-18.92792253,750.9218,0
201.9471888,11.79286867,763.4272,0
133.3016998,-28.51778178,764.7976,0
136.8252042,-49.57670531,778.5023,0
244.3553795,2.24325283,767.5386,0
196.4586067,14.41869984,766.7676,0
238.2756492,-8.560315493,758.2024,0
343.5972706,1.487907849,739.7014,0
287.3757226,45.12267436,756.3181,0
285.9051182,39.02653671,765.8254,0
83.55385477,53.28323169,804.7979,0
-92.74610664,61.95274088,846.768,0
-89.16457462,65.30358029,855.3332,0
-87.13053325,61.92184853,858.6736,0
-57.61584193,105.3560981,855.9326,0
-113.1865088,82.29591967,859.1875,0
18.79884219,76.22153535,841.8857,0
161.0714424,30.72138011,815.5901,0
194.0684027,74.51711608,806.6822,0
292.8906774,20.23933881,790.0655,0
323.1412591,136.5332973,791.3503,0
258.9750946,120.1906635,801.6286,0
192.2447663,106.873205,813.2775,0
68.90358907,100.2347344,837.7743,0
-84.06042676,3.201622338,841.2861,0
-99.12034435,14.34167915,837.5174,0
-95.53908133,31.33605558,833.9201,0
-79.62636437,21.99176524,831.693,0
-35.86408226,25.89197591,825.4402,0
-53.78793236,23.24463124,827.8385,0
40.04312341,18.09131983,819.5303,0
58.5380951,36.90556704,814.8194,0
112.1627339,55.80146058,805.1404,0
133.9924113,51.80987737,799.6588,0
157.6084215,57.2584987,796.4039,0
164.4653521,71.86987777,794.091,0
157.4938009,75.38254506,797.8598,0
159.8734309,85.71247819,797.7742,0
161.8168127,79.46497359,793.9199,0
151.3347438,78.94362608,800.0013,0
150.2214154,71.65711905,798.9734,0
112.907542,61.87313632,806.5967,0
200.5552282,65.30333602,796.2326,0
123.578227,66.05787538,811.5643,0
89.76747328,82.03636614,812.0784,0
-20.4899258,78.61897423,834.0913,0
-116.5883103,68.73975634,850.1938,0
-114.5571867,28.12533211,851.2219,0
-91.93350186,35.60384881,839.2303,0
-78.7768831,22.9608875,836.4037,0
-101.4244663,28.73188926,837.4317,0
-90.54981103,7.810911547,833.7485,0
59.57488102,1.28322863,805.5686,0
218.1891962,-18.0586202,777.303,0
339.2604418,-32.08176732,754.4338,0
176.7278158,110.2025353,775.2475,0
30.49668488,247.9065812,886.254,0
50.26471926,21.03579921,838.8877,0
350.0706543,20.8748171,768.0526,0
98.85583857,31.61075594,803.513,0
52.60081207,81.08281017,829.1233,0
-42.26110272,89.20466397,842.7421,0
-81.82950177,95.5470421,850.451,0
-112.6796245,73.47371438,858.9307,0
-90.83849557,68.22097857,861.8428,0
-104.3192958,61.16885044,863.4703,0
-85.23445806,48.09796527,860.9863,0
-33.00053913,47.73631686,851.2217,0
-50.71377832,56.66095094,853.3631,0
-72.10885694,59.07791121,855.1617,0
-62.71489266,46.10209667,855.8469,0
-24.45463602,21.24243974,848.6522,0
-85.76949226,67.10647642,853.4487,0
-39.44780044,74.2166842,847.2819,0
-20.18853849,52.27259133,848.3952,0
157.0740392,19.11827924,818.0741,0
282.6540316,-42.38969311,742.6138,0
203.4410102,-35.6167699,756.8319,0
149.6718534,-41.49919645,767.2817,0
215.8936561,-61.03660408,764.6262,0
302.6272203,-86.33240991,754.2625,0
278.8941629,-5.895111148,738.1595,0
115.7728915,-22.90773005,768.0525,0
139.0892823,21.89461934,776.6179,0
85.8124824,26.43338182,788.8663,0
-7.480223136,15.77565843,809.7657,0
-125.3697335,41.40826996,836.9178,0
-115.6760341,36.37341211,842.571,0
-108.5753232,28.4686432,842.314,0
-91.23320212,19.78691059,846.8535,0
-57.27122754,-6.021374858,846.254,0
-25.4103993,1.657626921,838.9735,0
-53.41820351,-2.015928248,835.2902,0
-50.70812887,27.19987158,833.2349,0
-51.39067336,25.07117927,837.5173,0
-70.75110392,14.34548606,842.057,0
-41.63134428,3.233068976,837.9458,0
-58.89106673,-23.4007374,845.4831,0
-122.4354614,-12.78066197,856.9607,0
-126.4943181,-43.1534306,852.5065,0
-39.9171756,-27.90519243,850.1939,0
-45.93884227,27.13725329,849.937,0
16.97596501,25.16830576,833.4917,0
-36.85944358,13.57759395,834.1769,0
22.92088091,23.49454363,825.9543,0
60.17992485,-4.39269431,823.5558,0
-9.439007044,9.022515149,830.5795,0
-79.80453689,27.69658309,836.8323,0
-128.5329695,29.19512683,846.4253,0
-33.90654794,-41.83246431,847.8814,0
-68.19070471,-19.19254687,847.5388,0
-8.618039312,-44.17056269,840.2583,0
-14.58446133,-25.75095538,839.8299,0
9.627927951,-19.5016499,834.4337,0
-36.9497536,17.04280903,837.2605,0
-15.74825119,26.35764369,834.0056,0
-39.92514518,28.566984,839.4018,0
-115.5860433,39.60320002,847.6245,0
50.390928,33.46695638,827.5814,0
-40.06048176,67.38069433,837.8599,0
-46.19609721,52.98484767,835.7186,0
-19.5353754,29.07469432,838.0313,0
14.44766884,49.69604459,830.9222,0
-6.03868926,47.31980911,831.9499,0
-113.2475751,55.22168252,852.2498,0
-78.28237482,26.56523941,850.7936,0
-115.2159265,30.09883897,853.0204,0
-88.52135333,28.27819983,845.8258,0
-94.89838799,24.12433065,848.5665,0
-17.24450992,-13.59578052,827.8385,0
160.7912625,-65.48000858,801.7998,0
248.4061705,-82.6275573,784.4123,0
342.0337935,16.63646252,740.2153,0
297.6739067,5.964059762,747.5816,0
327.4788406,1.487659247,743.2133,0
293.7633329,3.294606944,748.0954,0
280.7003762,-10.53368327,751.9497,0
327.6300335,-11.53857839,743.3845,0
342.2135751,-5.66846357,742.0139,0
127.1373127,13.7993297,773.2775,0
20.17189119,6.551028454,807.2819,0
-20.75167562,29.85615008,823.4703,0
-36.36578625,20.11172771,828.524,0
-2.07531688,22.16408243,826.2113,0
47.84633903,16.12310455,815.3331,0
180.9051221,-21.02546872,788.6951,0
240.0079918,15.7630479,776.1895,0
289.6730429,24.67720929,768.5666,0
347.6381663,64.8399315,747.496,0
317.3423045,79.91562329,758.0311,0
94.72030251,107.0763122,796.575,0
-123.6919134,79.58141349,845.9969,0
-117.5676739,60.96675824,856.104,0
