date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016/6/3 13:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,92,92,100,100,8.9011,604.201,2.27335,602.5007,0.177045,0.091576,0.500611,9.914534,0.25335842,1.37363,0.457875,0.8547015,0.091576,0.1098907,0.579976,1.61783,308.4817,422.2845,9.244016,2.902416,432.0977,863.4703,863.2198,28.65081,28.39516,599.0218,175777.8,7509.13,22.22268,22.17883,22.11962,22.14538,6,0.387668,1.904765,0.344933,0.9768035,1.440785,28.74236,26.88037,84.17583,885.1187,2258.543,2815.341,387.3107,3272.46,3.150641,0,141.415
2016/6/3 13:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,92,92,100,100,8.9011,605.0719,2.27335,603.1453,0.189255,0.091576,0.622711,9.829054,1.06532412,1.379735,0.457875,0.8363862,0.091576,0.0976809,0.579976,1.61783,308.3224,423.4009,9.204628,2.892953,432.7886,860.9863,859.3204,28.62211,28.37265,601.3998,175786.5,7509.13,22.2201,22.17112,22.11448,22.13764,6,1.172162,3.614165,1.126375,3.2783885,2.503055,16.361411,28.22345,58.71184,877.4292,2237.303,2822.182,381.7809,3265.077,3.10513,0,141.415
2016/6/3 13:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,92,92,100,100,8.9011,605.275,2.27335,603.3193,0.189255,0.091576,0.335776,10.75091,0.5433466,1.37363,0.4639801,0.824176,0.091576,0.0976809,0.579976,1.61783,307.6759,423.5884,9.098372,2.86059,433.7961,851.2217,853.0626,28.3602,28.04032,600.3308,175795.2,7509.13,22.22784,22.17626,22.12476,22.14796,6,0,4.6337,0.6562887,4.4078138,1.25153,45.05495,43.90112,65.57995,863.4253,2205.573,2850.229,377.7119,3223.776,3.32596,0,141.415
2016/6/3 14:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,78.8,78.8,100,100,8.9011,605.106,2.27335,602.0034,0.164835,0.091576,0.3418809,7.23443,0.2014658,1.37363,0.4639801,0.8302811,0.091576,0.091576,0.579976,1.61783,307.6832,423.9441,9.114862,2.860589,433.1992,853.3631,852.0776,28.12027,28.02875,600.8157,175804,7509.13,22.233,22.1814,22.1299,22.15827,6,0.351038,2.600735,0.344933,2.0268632,1.691088,19.91453,37.79611,63.68741,864.9465,2223.818,2832.849,377.323,3232.302,3.19551,0,141.415
2016/6/3 14:10,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,605.1132,2.27335,600.8994,0.213675,0.091576,0.4761913,4.432235,0.07326088,1.37363,0.4639801,0.8302811,0.091576,0.091576,0.579976,1.623935,307.6344,424.29,9.140508,2.860895,433.3025,855.1617,855.4672,28.06715,28.06461,601.3136,175812.7,7509.13,22.22268,22.17883,22.11705,22.13764,6,3.278388,4.98169,2.802198,4.9877886,3.870571,15.073241,41.01955,87.22224,871.6796,2237.703,2832.423,383.9153,3248.044,3.245833,0,141.415
2016/6/3 14:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,605.3232,2.27335,601.838,0.17094,0.091576,0.4212458,0.9523826,0.12210092,1.37363,0.457875,0.824176,0.091576,0.091576,0.579976,1.61783,307.7025,425.01,9.128601,2.858146,433.1872,855.8469,855.273,28.0934,28.1173,602.8494,175821.3,7509.13,22.233,22.18656,22.12733,22.15826,6,1.999391,8.076914,1.480466,8.1990246,10.671533,25.26252,49.37728,95.23811,869.2011,2223.53,2837.517,373,3248.061,3.270194,0,142.417
2016/6/3 14:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,603.6104,2.27335,601.0057,0.15873,0.091576,0.3785103,2.0512838,0.109891,1.37363,0.457875,0.824176,0.091576,0.0976809,0.561661,1.61783,307.3919,424.0955,9.079139,2.8441,432.6168,848.6522,848.7352,28.08425,28.01917,600.2829,175830.1,7509.13,22.22268,22.17626,22.11448,22.14022,6,2.582418,21.33086,2.326008,21.43468,1.80098,47.83271,51.29425,90.61054,859.4371,2181.535,2848.952,363.3823,3232.685,3.598718,0,143.419
2016/6/3 14:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,598.7395,2.27335,599.2698,0.177045,0.091576,0.3907202,0.091576,0.091576,1.37363,0.457875,0.8302811,0.091576,0.1037858,0.567766,1.61783,307.2962,422.9867,9.141425,2.862422,428.7358,853.4487,852.9097,27.70512,28.01512,598.1633,175838.9,7509.13,22.21494,22.16855,22.10934,22.13506,6,0,5.299149,0,5.170945,1.355315,23.35165,33.4066,48.168504,878.8553,2253.043,2804.366,380.607,3254.021,3.709937,0,143.419
2016/6/3 14:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,598.7538,2.27335,598.8207,0.18315,0.091576,0.4700853,0.091576,0.06715584,1.37363,0.457875,0.824176,0.091576,0.1159956,0.567766,1.61783,306.9657,422.8742,9.059905,2.84166,427.8142,847.2819,847.0425,27.89439,27.90495,599.976,175847.6,7509.13,22.21494,22.17883,22.1042,22.1299,6,0,1.843715,0,1.78877,1.953605,20.909657,31.39195,19.050664,864.897,2230.796,2812.353,377.9031,3212.854,3.31795,0,143.419
2016/6/3 15:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.9011,599.2818,2.27335,598.4675,0.19536,0.091576,0.421245,0.091576,0.0305256,1.37363,0.457875,0.824176,0.091576,0.091576,0.573871,1.61783,307.0787,422.802,9.086467,2.854178,428.0734,848.3952,847.5435,28.25703,27.94903,599.5092,175856.3,7509.13,22.2072,22.16598,22.1042,22.1299,6,0.192308,1.84982,0.656289,2.148965,1.84982,41.6911,43.09524,64.56655,859.157,2202.204,2818.984,372.3152,3210.815,3.120194,0,143.419
