date,time,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016/6/25,9:10:00,84,84,84,84,84,84,84,84,65,65,65,65,65,65,65,65,84,84,84,84,70,70,100,100,7.21841,599.7087,2.04518,581.157,0.18315,0.091576,0.2503056,0.091576,0.2228331,0.891332,9.999986,10.1038,0.457875,0.152625,0.091576,0.091576,295.6354,421.0532,7.614497,2.367489,428.8382,702.1852,701.9362,23.11537,23.20127,592.3751,208279.7,7509.13,27.08158,27.06094,26.99654,27.02226,5,10.354077,0.641025,30.81808,1.00733,2.100124,47.89377,59.22466,1.343105,740.4639,1818.432,2866.884,286.4833,2697.556,3.539422,0,145.305
2016/6/25,9:20:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.21841,598.7465,2.04518,583.9694,0.18315,0.091576,0.286936,0.091576,0,0.885227,10.20147,10.1648,0.457875,0.152625,0.091576,0.091576,296.6991,420.2604,7.77296,2.419088,428.2046,716.8319,715.7205,23.67156,23.65029,591.5491,208291.3,7509.13,27.079,27.03256,26.98106,27.0017,5,17.683153,0.6105005,38.62027,1.050058,1.489625,27.53968,46.001217,1.337,759.3103,1874.405,2848.905,287.3719,2764.51,3.66859,0,145.305
2016/6/25,9:30:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.21841,593.4878,2.04518,584.4876,0.177045,0.091576,0.305251,0.091576,0,0.891332,10.2259,10.1648,0.457875,0.152625,0.091576,0.091576,297.461,417.7019,7.871887,2.46214,424.7772,726.5108,726.525,23.67767,24.00746,588.201,208303,7509.13,27.079,27.0274,26.97848,27.00427,5,0,0.579976,20.88518,1.117218,1.794875,3.443225,13.07692,1.42247,776.7776,1935.434,2802.849,304.2716,2800.161,3.619231,0,145.305
2016/6/25,9:40:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.21841,595.4115,2.04518,588.6622,0.189255,0.091576,0.311356,0.091576,0,0.885227,11.66668,11.6117,0.457875,0.152625,0.091576,0.091576,298.033,419.1072,7.953407,2.490536,424.6334,737.2173,736.4858,24.30707,24.24742,593.6004,208314.6,7509.13,27.079,27.04546,26.99138,27.01198,5,0.543346,0.6166058,30.31748,1.12943,34.926743,17.960934,55.04883,1.42247,781.7604,1927.628,2834.421,304.7695,2820.814,3.08077,0,143.9015
2016/6/25,9:50:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.21841,596.5364,2.04518,590.7481,0.18315,0.091576,0.305251,0.091576,0,0.8669118,15.07934,15.0305,0.4639801,0.152625,0.091576,0.091576,299.2925,419.1072,8.106374,2.541829,425.4686,750.8364,750.5925,24.97498,24.72777,592.6414,208326.3,7509.13,27.079,27.04288,26.99138,27.01712,5,1.407205,0.6349203,31.90479,1.12943,60.25029,44.18194,54.8657,1.37363,789.2036,1948.387,2844.113,303.4978,2888.368,3.23045,0,143.3
2016/6/25,10:00:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.21841,596.601,2.04518,589.731,0.201465,0.091576,0.274726,0.091576,0,0.811966,15.29911,15.0488,0.4639801,0.152625,0.091576,0.091576,299.9186,418.2066,8.229118,2.573581,425.987,761.7142,762.4505,25.00856,25.06364,591.2613,208337.9,7509.13,27.079,27.0274,26.9759,27.0017,5,0.375458,0.579976,31.19048,1.117218,30.268621,30.433448,48.90109,1.465205,807.9285,2009.896,2841.002,309.1261,2939.134,3.482692,0,141.296
2016/6/25,10:10:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,7.718635,594.3115,2.04518,588.4022,0.20757,0.091576,0.274726,0.091576,0,0.799756,15.01219,15.0488,0.4639801,0.152625,0.091576,0.091576,300.797,416.8729,8.320714,2.60656,424.3162,768.9948,769.6755,24.98229,25.39368,588.4675,208349.5,7509.13,27.079,27.03514,26.98106,27.00684,5,0,0.579976,30.87913,1.12943,1.27595,3.113555,22.80828,1.391945,819.1999,2048.686,2806.829,315.6333,2971.709,3.751282,0,141.296
2016/6/25,10:20:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.21886,595.5263,2.04518,589.6074,0.20757,0.091576,0.2991461,0.091576,0.0885227,0.799756,15.09767,15.0488,0.457875,0.152625,0.091576,0.091576,301.1452,417.3773,8.3601,2.621521,424.4317,773.9629,774.3439,25.38278,25.55118,591.4416,208361,7509.13,27.079,27.0532,26.99912,27.02483,5,0,0.579976,30.86691,1.12943,1.282055,3.821735,28.23567,1.38584,820.3636,2059.965,2812.009,319.6424,2990.231,3.37628,0,141.296
2016/6/25,10:30:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.21886,596.0375,2.04518,590.7138,0.18315,0.091576,0.1404152,0.091576,0.50061184,0.763126,15.06102,15.0488,0.457875,0.152625,0.091576,0.091576,300.4841,418.1702,8.240109,2.58946,425.4686,764.4549,764.2047,25.48899,25.31983,593.8959,208372.7,7509.13,27.079,27.04804,26.98622,27.01455,5,0.912699,0.579976,31.49575,1.135535,1.78877,11.794866,46.88644,1.38584,802.4782,2003.552,2840.43,306.0784,2950.962,3.419231,0,141.296
2016/6/25,10:40:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.21886,596.7431,2.04518,590.6553,0.189255,0.091576,0.1770451,0.091576,0.15873046,0.763126,15.23198,15.0488,0.457875,0.152625,0.091576,0.091576,300.2496,419.2799,8.20805,2.578773,426.1404,762.3995,762.1304,25.47435,25.19816,594.8149,208384.3,7509.13,27.079,27.0403,26.99138,27.01198,5,0.555556,0.579976,31.22714,1.184375,1.538465,28.57755,51.43468,1.38584,794.7747,1998.378,2839.139,307.8994,2927.572,3.519551,0,141.296
